2023,2023-05-11,Botafogo RJ,Corinthians,3,0,H,3,3,3,6,2,2,4,1,2,3,1,0,1
2023,2023-05-10,Bragantino,America MG,2,2,D,4,5,4,9,2,4,6,5,3,8,2,1,3
2023,2023-05-10,Internacional,Athletico-PR,0,2,A,2,4,3,7,2,1,3,2,4,6,0,0,0
2023,2023-05-10,Santos,Bahia,3,0,H,3,1,4,5,0,0,0,3,4,7,2,0,2
2023,2023-05-09,Corinthians,Fortaleza,1,1,D,2,5,5,10,2,4,6,2,2,4,0,0,0
2023,2023-05-07,Fluminense,Vasco,1,1,D,2,9,1,10,3,1,4,3,3,6,0,1,1
2023,2023-05-07,America MG,Cuiaba,1,2,A,3,4,6,10,2,4,6,4,4,8,1,0,1
2023,2023-05-07,Athletico-PR,Flamengo RJ,2,1,H,3,2,8,10,0,3,3,2,2,4,1,1,2
2023,2023-05-07,Bahia,Coritiba,3,1,H,4,3,5,8,1,3,4,2,7,9,1,0,1
2023,2023-05-07,Sao Paulo,Internacional,2,0,H,2,4,9,13,2,3,5,3,4,7,1,0,1
2023,2023-05-07,Botafogo RJ,Atletico-MG,2,0,H,2,5,9,14,2,8,10,1,3,4,1,0,1
2023,2023-05-07,Goias,Palmeiras,0,5,A,5,4,6,10,2,3,5,3,6,9,0,1,1
2023,2023-05-07,Gremio,Bragantino,3,3,D,6,4,7,11,3,3,6,5,2,7,1,1,2
2023,2023-05-06,Cruzeiro,Santos,2,1,H,3,4,4,8,1,2,3,6,3,9,1,0,1
2023,2023-05-02,Vasco,Bahia,0,1,A,1,7,6,13,2,3,5,1,4,5,0,1,1
2023,2023-04-30,Atletico-MG,Athletico-PR,2,1,H,3,1,5,6,1,1,2,3,3,6,1,0,1
2023,2023-04-30,Flamengo RJ,Botafogo RJ,2,3,A,5,7,2,9,2,2,4,4,5,9,0,2,2
2023,2023-04-30,Cuiaba,Gremio,1,2,A,3,4,5,9,5,2,7,5,5,10,1,1,2
2023,2023-04-30,Internacional,Goias,1,0,H,1,8,11,19,5,4,9,4,3,7,0,0,0
2023,2023-04-29,Coritiba,Sao Paulo,1,1,D,2,7,6,13,2,3,5,4,1,5,1,0,1
2023,2023-04-29,Fortaleza,Fluminense,4,2,H,6,8,5,13,4,3,7,0,3,3,2,1,3
2023,2023-04-29,Bragantino,Cruzeiro,0,3,A,3,5,9,14,5,2,7,7,2,9,0,1,1
2023,2023-04-29,Palmeiras,Corinthians,2,1,H,3,12,3,15,6,1,7,3,3,6,2,0,2
2023,2023-04-29,Santos,America MG,3,2,H,5,2,6,8,2,3,5,4,4,8,2,1,3
2023,2023-04-25,Bahia,Botafogo RJ,1,2,A,3,6,3,9,4,1,5,1,2,3,1,1,2
2023,2023-04-23,Cruzeiro,Gremio,1,0,H,1,11,5,16,8,1,9,7,2,9,0,0,0
2023,2023-04-23,Internacional,Flamengo RJ,2,1,H,3,6,2,8,3,0,3,3,1,4,0,0,0
2023,2023-04-23,Santos,Atletico-MG,0,0,D,0,9,6,15,5,2,7,3,3,6,0,0,0
2023,2023-04-23,Vasco,Palmeiras,2,2,D,4,2,5,7,1,1,2,4,3,7,2,1,3
2023,2023-04-23,Coritiba,Fortaleza,0,3,A,3,3,7,10,3,3,6,1,2,3,0,0,0
2023,2023-04-23,Goias,Corinthians,3,1,H,4,5,8,13,2,4,6,5,2,7,1,1,2
2023,2023-04-22,Fluminense,Athletico-PR,2,0,H,2,10,6,16,7,2,9,3,3,6,1,0,1
2023,2023-04-22,Cuiaba,Bragantino,1,1,D,2,4,5,9,3,4,7,3,3,6,0,0,0
2023,2023-04-22,Sao Paulo,America MG,3,0,H,3,3,7,10,0,5,5,5,3,8,1,0,1
2023,2023-04-16,Atletico-MG,Vasco,1,2,A,3,14,3,17,6,2,8,6,5,11,1,2,3
2023,2023-04-16,Corinthians,Cruzeiro,2,1,H,3,7,4,11,3,0,3,4,2,6,0,0,0
2023,2023-04-16,Flamengo RJ,Coritiba,3,0,H,3,6,3,9,4,2,6,3,3,6,1,0,1
2023,2023-04-16,Gremio,Santos,1,0,H,1,4,11,15,3,7,10,3,5,8,1,0,1
